iter	RMSE
0	0.8228562544
1	0.8142198823
2	0.8056075998
3	0.7979316692
4	0.7902681032
5	0.783677524
6	0.7772017211
7	0.771177563
8	0.7652982438
9	0.7593721983
10	0.7545932585
11	0.749044274
12	0.7439526474
13	0.7389769858
14	0.7344319491
15	0.7300304587
16	0.7268023421
17	0.7230124737
18	0.7188286208
19	0.7152849705
20	0.7116625192
21	0.7080898486
22	0.7053666257
23	0.7023641359
24	0.6988005111
25	0.6955780605
26	0.6923765632
27	0.68920579
28	0.6865526435
29	0.6843927832
30	0.6824918264
31	0.6801192549
32	0.6779452787
33	0.6756439158
34	0.6737185339
35	0.6717405222
36	0.6700602543
37	0.6679150806
38	0.6661301326
39	0.6644493163
40	0.6627477273
41	0.660793722
42	0.6593078864
43	0.6578479537
44	0.6566177147
45	0.6556005924
46	0.6538821608
47	0.6525447694
48	0.651137865
49	0.6497906782
50	0.6480965414
51	0.6469317002
52	0.6457564538
53	0.6446253759
54	0.6434626119
55	0.6422755332
56	0.6409821588
57	0.6400727687
58	0.6393980856
59	0.6382685303
60	0.637407838
61	0.6364424583
62	0.6355265529
63	0.6344373126
64	0.6336827321
65	0.6324230676
66	0.6314994365
67	0.6305751234
68	0.6296545474
69	0.6283516022
70	0.6274132017
71	0.6268759741
72	0.6260362214
73	0.6250847481
74	0.6241862056
75	0.6233447583
76	0.6226967361
77	0.6220180305
78	0.6211514566
79	0.6201344061
80	0.619499041
81	0.6187440971
82	0.6179965007
83	0.6172287447
84	0.6165696672
85	0.6158184598
86	0.6149968229
87	0.6145864903
88	0.6139593473
89	0.6133045527
90	0.6128053291
91	0.6123808959
92	0.6118706699
93	0.6108718704
94	0.6105104908
95	0.609571286
96	0.6088501028
97	0.6083916539
98	0.6077862476
99	0.6072550252
100	0.6068560003
101	0.6062506354
102	0.6057397267
103	0.6051511884
104	0.6042081143
105	0.6034899669
106	0.6030509639
107	0.6023343252
108	0.6014373612
109	0.6007447555
110	0.6001443658
111	0.599399003
112	0.5985996451
113	0.5981554423
114	0.5973207954
115	0.5969783665
116	0.5966936092
117	0.5963570782
118	0.5958128445
119	0.5954186268
120	0.5947713187
121	0.5940182299
122	0.5934249295
123	0.592867361
124	0.592453354
125	0.5920238468
126	0.5914519162
127	0.5908244203
128	0.5901712159
129	0.5895203233
130	0.5892651854
131	0.5881326115
132	0.5875600807
133	0.5869156074
134	0.5864018875
135	0.5858870794
136	0.5853310512
137	0.5846833882
138	0.5842201186
139	0.5834651218
140	0.5830172885
141	0.5827963402
142	0.5823923826
143	0.5819631935
144	0.5814973841
145	0.5809027822
146	0.5804582349
147	0.5800426649
148	0.5796927914
149	0.5786739312
150	0.5784202064
151	0.5780869453
152	0.5776433468
153	0.5773113874
154	0.5764925609
155	0.5761045803
156	0.5756457724
157	0.5750509769
158	0.5746260026
159	0.5742308448
160	0.5738767616
161	0.5731382839
162	0.5727128416
163	0.5724049367
164	0.572113279
165	0.5713819295
166	0.5708741828
167	0.5703328093
168	0.5700935538
169	0.5696844743
170	0.5691242089
171	0.5686428265
172	0.5679952025
173	0.5675931579
174	0.5669704259
175	0.5666581852
176	0.5657932438
177	0.5651657348
178	0.5648539884
179	0.5644581825
180	0.5640858739
181	0.5635520993
182	0.5629575936
183	0.5626534991
184	0.561877349
185	0.561301767
186	0.5611631447
187	0.5608150087
188	0.5604551248
189	0.5599293352
190	0.5595939395
191	0.5590366029
192	0.5587482579
193	0.558239527
194	0.5578537863
195	0.5573408649
196	0.5570260333
197	0.5564858624
198	0.5561378164
199	0.5557037207
200	0.5554897868
201	0.554971054
202	0.5543875124
203	0.5539985645
204	0.5533471455
205	0.5532778009
206	0.553197156
207	0.5527374312
208	0.5516805816
209	0.5511991269
210	0.5505296005
211	0.5499777101
212	0.5491225173
213	0.5488407778
214	0.5482218031
215	0.5478455304
216	0.5473569905
217	0.5472649799
218	0.5470853974
219	0.5463527689
220	0.5456513147
221	0.5455484103
222	0.5450630603
223	0.5445989985
224	0.5444669469
225	0.5436675883
226	0.5429823825
227	0.5429319902
228	0.5428865725
229	0.5421036774
230	0.5414796339
231	0.5413730006
232	0.5409796877
233	0.5407174534
234	0.5404344009
235	0.539996808
236	0.5394381177
237	0.5393149151
238	0.5392600464
239	0.5388586144
240	0.5384480723
241	0.5380551579
242	0.5374841785
243	0.5373702079
244	0.5373276588
245	0.5368437133
246	0.5365618447
247	0.5358836793
248	0.535734231
249	0.5356939173
250	0.5356495371
251	0.5351605664
252	0.5351201759
253	0.5350881515
254	0.5344317958
255	0.5343928665
256	0.5339530732
257	0.5336355739
258	0.533603209
259	0.5335701802
260	0.5335170588
261	0.5334435515
262	0.5333462388
263	0.533315622
264	0.5328295176
265	0.5328029564
266	0.5327726655
267	0.53255409
268	0.5320246837
269	0.5314125952
270	0.5307944953
271	0.5306157555
272	0.5305855696
273	0.5300196287
274	0.5294702046
275	0.5294412158
276	0.528562259
277	0.5277868367
278	0.5275676329
279	0.526956186
280	0.5265095672
281	0.5257180858
282	0.525178389
283	0.5245267747
284	0.5240192238
285	0.5236982214
286	0.5230532138
287	0.5223182186
288	0.5216283287
289	0.5211078656
290	0.5205007559
291	0.5204764779
292	0.5197869398
293	0.5192499861
294	0.5188045875
295	0.5183565186
296	0.5177499388
297	0.5175417057
298	0.5172089683
299	0.5167562278
300	0.5161088757
301	0.5157619076
302	0.5157387434
303	0.5150002211
304	0.5144509104
305	0.5136143169
306	0.5135205079
307	0.5129914669
308	0.5128368835
309	0.512224252
310	0.5117077201
311	0.5112280403
312	0.5111146353
313	0.5110937801
314	0.510564703
315	0.5100420487
316	0.5097271116
317	0.5092662824
318	0.5087613376
319	0.5080265866
320	0.5073514665
321	0.506753633
322	0.506157059
323	0.505747397
324	0.5056860016
325	0.5054115879
326	0.5045867843
327	0.5038352163
328	0.5034834192
329	0.503251639
330	0.5029307562
331	0.5024832372
332	0.5020784661
333	0.5016182439
334	0.5012700594
335	0.5007602174
336	0.5004262269
337	0.5001290354
338	0.4996583992
339	0.4994468415
340	0.4987490196
341	0.4986016376
342	0.4978040853
343	0.4968458868
344	0.4962893478
345	0.4956973691
346	0.4952776661
347	0.495105847
348	0.4946498307
349	0.4938095819
350	0.4935893008
351	0.4929576925
352	0.4922974299
353	0.4921469028
354	0.491680838
355	0.4911244591
356	0.4903555145
357	0.4900501664
358	0.4896317099
359	0.489351756
360	0.4890837618
361	0.4885993437
362	0.4881684932
363	0.488151411
364	0.4878008044
365	0.4871678623
366	0.4867003234
367	0.4863848671
368	0.4860195055
369	0.4854786264
370	0.4853136756
371	0.4847873962
372	0.4844062548
373	0.4839575072
374	0.4834668257
375	0.4830004733
376	0.4824928302
377	0.482071348
378	0.48152372
379	0.4809403404
380	0.4803010367
381	0.4798202954
382	0.479497645
383	0.479106532
384	0.4785661419
385	0.4783572641
386	0.4778276289
387	0.477413742
388	0.4770026806
389	0.4763678684
390	0.4759003477
391	0.4755469992
392	0.4755190665
393	0.4751393393
394	0.474708545
395	0.4744805971
396	0.4740595937
397	0.4734567603
398	0.4727079108
399	0.4721153827
400	0.4717477605
401	0.4714136982
402	0.4707945235
403	0.4702768878
404	0.4696565347
405	0.4692651811
406	0.4688733742
407	0.4685762127
408	0.4681145121
409	0.4674980316
410	0.4667504781
411	0.4666529074
412	0.4660731614
413	0.465696842
414	0.4654630375
415	0.4651549181
416	0.4646940539
417	0.4641641357
418	0.4639961855
419	0.4633256305
420	0.4630063984
421	0.4624416468
422	0.4620668522
423	0.461536954
424	0.4611058025
425	0.460778188
426	0.4604995536
427	0.4601525558
428	0.4595834235
429	0.4591286737
430	0.45854228
431	0.4579983388
432	0.4579174462
433	0.4574945079
434	0.4569968633
435	0.4566288134
436	0.4562126625
437	0.4554245618
438	0.4550132562
439	0.4548669687
440	0.4541666049
441	0.4538113266
442	0.4534220094
443	0.4530139091
444	0.4525131146
445	0.4523694005
446	0.4520728971
447	0.4516175114
448	0.4511462789
449	0.4509696867
450	0.4509551729
451	0.4503225221
452	0.4499905857
453	0.4495997429
454	0.449585239
455	0.4492019058
456	0.4491823753
457	0.448655087
458	0.4483024951
459	0.4477596153
460	0.4473077095
461	0.4468099846
462	0.4463608749
463	0.44581064
464	0.4453996106
465	0.4450814223
466	0.4447415592
467	0.4445304567
468	0.4442963993
469	0.4436278865
470	0.4431347052
471	0.4426073963
472	0.4422603061
473	0.4420521295
474	0.4417803949
475	0.4412442384
476	0.440898512
477	0.4406359677
478	0.4403152557
479	0.439939653
480	0.4395883211
481	0.4390044888
482	0.438830113
483	0.4385118804
484	0.4380146008
485	0.4376307748
486	0.4373805103
487	0.4372847527
488	0.4370131997
489	0.4366004931
490	0.4362407369
491	0.4358563458
492	0.4354906605
493	0.4349888105
494	0.434592096
495	0.4342346938
496	0.4338579779
497	0.4335401225
498	0.4330679388
499	0.4326398209
500	0.4322750656
501	0.4319048905
502	0.4315742367
503	0.4310965857
504	0.4308233267
505	0.4303722807
506	0.4298313041
507	0.4295696338
508	0.4295593619
509	0.4292523676
510	0.4289901258
511	0.4285231047
512	0.4283355614
513	0.4278339281
514	0.4271671525
515	0.4269630672
516	0.426693408
517	0.426232568
518	0.4258824354
519	0.4254643605
520	0.4251022497
521	0.4247044571
522	0.4243997553
523	0.4240588846
524	0.4235673104
525	0.4228726308
526	0.4226638143
527	0.4222827301
528	0.4219211198
529	0.4215547733
530	0.4213749568
531	0.4210991164
532	0.4209490704
533	0.4206606767
534	0.4203683804
535	0.4201178689
536	0.4196307301
537	0.4192644033
538	0.4191191786
539	0.4186998556
540	0.4184444297
541	0.4179160619
542	0.4175079918
543	0.4171390415
544	0.4171242187
545	0.416487003
546	0.416007401
547	0.4155371395
548	0.4151277985
549	0.4145748601
550	0.4142640348
551	0.4138527564
552	0.4134957013
553	0.4132146543
554	0.4128078153
555	0.4123702606
556	0.4118482425
557	0.4118201698
558	0.4115231153
559	0.410914919
560	0.4107186452
561	0.4103702896
562	0.4097929987
563	0.4093611316
564	0.4093510088
565	0.408790832
566	0.4086020369
567	0.4083277001
568	0.4079725499
569	0.4077275824
570	0.4076317796
571	0.4072994402
572	0.4069229977
573	0.406598472
574	0.4061566013
575	0.4057549703
576	0.4055090431
577	0.4054579115
578	0.404928231
579	0.4046613877
580	0.4042469123
581	0.4039869233
582	0.4034213216
583	0.4031179322
584	0.4030103211
585	0.4025976145
586	0.4023195951
587	0.4019616064
588	0.4016141805
589	0.4010841903
590	0.4006744695
591	0.4002620586
592	0.4000966021
593	0.3999797621
594	0.399661064
595	0.3993634738
596	0.3990143866
597	0.3986969837
598	0.3982886804
599	0.3979455537
600	0.3976402952
601	0.3976276165
602	0.3973221465
603	0.3969473205
604	0.3969150489
