iter	Passed	Remaining
0	6	6207
1	13	6674
2	18	6147
3	23	5964
4	29	5909
5	34	5710
6	40	5726
7	48	5999
8	54	5980
9	61	6042
10	66	6016
11	73	6056
12	78	5938
13	84	5927
14	89	5872
15	94	5795
16	99	5733
17	104	5683
18	108	5625
19	113	5566
20	120	5621
21	125	5578
22	131	5571
23	136	5551
24	142	5544
25	148	5548
26	153	5529
27	157	5477
28	164	5510
29	170	5508
30	175	5493
31	182	5507
32	187	5487
33	192	5458
34	197	5451
35	203	5439
36	208	5423
37	214	5426
38	220	5439
39	226	5433
40	231	5418
41	237	5413
42	243	5413
43	248	5394
44	254	5401
45	260	5392
46	265	5377
47	270	5358
48	274	5331
49	279	5317
50	285	5315
51	290	5302
52	295	5288
53	301	5273
54	306	5264
55	313	5279
56	319	5280
57	324	5276
58	330	5272
59	336	5266
60	341	5256
61	347	5250
62	351	5231
63	356	5220
64	361	5205
65	367	5196
66	373	5200
67	378	5191
68	383	5177
69	389	5175
70	394	5165
71	399	5149
72	404	5135
73	409	5127
74	414	5115
75	420	5112
76	427	5127
77	434	5135
78	439	5129
79	446	5135
80	453	5142
81	460	5150
82	464	5134
83	470	5128
84	476	5128
85	481	5113
86	487	5114
87	492	5108
88	498	5102
89	503	5091
90	509	5089
91	513	5071
92	519	5065
93	525	5062
94	530	5050
95	534	5036
96	540	5031
97	545	5020
98	550	5010
99	556	5009
100	561	5001
101	569	5017
102	577	5027
103	589	5081
104	597	5094
105	609	5136
106	634	5298
107	646	5342
108	654	5349
109	661	5355
110	669	5363
111	679	5387
112	686	5386
113	692	5380
114	700	5394
115	709	5409
116	716	5409
117	723	5405
118	727	5385
119	735	5391
120	739	5375
121	744	5358
122	753	5372
123	759	5366
124	767	5369
125	771	5351
126	775	5332
127	785	5352
128	790	5336
129	796	5328
130	801	5317
131	806	5300
132	813	5300
133	817	5286
134	822	5271
135	832	5290
136	837	5273
137	845	5280
138	849	5264
139	855	5253
140	862	5255
141	868	5247
142	873	5237
143	878	5224
144	884	5218
145	893	5227
146	898	5216
147	905	5212
148	911	5207
149	916	5196
150	922	5184
151	929	5184
152	935	5179
153	942	5175
154	949	5175
155	954	5164
156	960	5157
157	965	5147
158	973	5150
159	979	5141
160	984	5132
161	992	5134
162	998	5126
163	1006	5128
164	1011	5118
165	1016	5104
166	1024	5111
167	1031	5109
168	1039	5111
169	1044	5101
170	1055	5114
171	1061	5110
172	1070	5118
173	1076	5107
174	1081	5097
175	1088	5094
176	1094	5088
177	1102	5091
178	1107	5081
179	1115	5079
180	1120	5071
181	1126	5062
182	1132	5053
183	1136	5038
184	1141	5030
185	1146	5019
186	1151	5008
187	1158	5003
188	1164	4995
189	1169	4985
190	1175	4977
191	1179	4963
192	1183	4949
193	1188	4936
194	1192	4924
195	1198	4916
196	1204	4908
197	1210	4903
198	1216	4897
199	1222	4890
200	1227	4879
201	1233	4872
202	1237	4859
203	1244	4854
204	1249	4847
205	1254	4835
206	1260	4827
207	1264	4814
208	1269	4806
209	1277	4805
210	1282	4796
211	1287	4787
212	1296	4788
213	1301	4778
214	1306	4770
215	1310	4757
216	1316	4749
217	1322	4742
218	1326	4731
219	1332	4723
220	1338	4718
221	1343	4707
222	1348	4698
223	1354	4692
224	1359	4681
225	1364	4674
226	1371	4671
227	1376	4661
228	1382	4655
229	1388	4647
230	1395	4644
231	1399	4632
232	1405	4626
233	1410	4618
234	1415	4609
235	1422	4605
236	1429	4603
237	1435	4597
238	1441	4591
239	1446	4580
240	1453	4577
241	1458	4569
242	1464	4562
243	1471	4559
244	1476	4549
245	1481	4539
246	1488	4536
247	1492	4527
248	1500	4526
249	1506	4518
250	1510	4506
251	1516	4500
252	1523	4497
253	1528	4488
254	1535	4486
255	1540	4477
